,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,Draft_Yr
47,Golden State,From Denver:  Josh Grant  Future 2nd Pick (1994),Denver,From Golden State:  Darnell Mee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
48,New Jersey,From Washington:  2nd Round 36th Pick of 1993 Draft,Washington,From New Jersey:  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
49,Utah,From Minnesota:  Felton Spencer,Minnesota,From Utah:  Mike Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
51,1994 Draft Day Trades  Trades between teams sent and received  Boston From Milwaukee:  Derek Strong  Theodore Edwards Milwaukee From Boston:  Andrei Fetisov  Ed Pinckney,1994 Draft Day Trades  Trades between teams sent and received  Boston From Milwaukee:  Derek Strong  Theodore Edwards Milwaukee From Boston:  Andrei Fetisov  Ed Pinckney,1994 Draft Day Trades,Trades between teams sent and received,Boston,From Milwaukee:  Derek Strong  Theodore Edwards,Milwaukee,From Boston:  Andrei Fetisov  Ed Pinckney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
52,1994 Draft Day Trades  Trades between teams sent and received  Boston From Milwaukee:  Derek Strong  Theodore Edwards Milwaukee From Boston:  Andrei Fetisov  Ed Pinckney,1994 Draft Day Trades,Trades between teams sent and received,Boston,From Milwaukee:  Derek Strong  Theodore Edwards,Milwaukee,From Boston:  Andrei Fetisov  Ed Pinckney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
54,1994 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
55,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
56,Boston,From Milwaukee:  Derek Strong  Theodore Edwards,Milwaukee,From Boston:  Andrei Fetisov  Ed Pinckney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
58,1995 Draft Day Trades  Trades between teams sent and received  LA Clippers From Denver:  Brent Barry  Rodney Rogers Denver From LA Clippers:  Antonio McDyess  Randy Woods Portland From Milwaukee:  Gary Trent  1st Round Draft Pick (1996) Milwaukee From Portland:  Shawn Respert Washington From LA Lakers:  2 Second Round Draft Picks (TBD) LA Lakers From Seattle:  1995 2nd Round Pick (#37) Washington From Miami:  Jeff Webster  Ed Stokes Miami From Washington:  Rex Chapman  Terrence Rencher Seattle From Milwaukee:  Eric Snow Milwaukee From Seattle:  Eurelijus Zukauskas  2nd Round Draft Pick (1996),1995 Draft Day Trades  Trades between teams sent and received  LA Clippers From Denver:  Brent Barry  Rodney Rogers Denver From LA Clippers:  Antonio McDyess  Randy Woods Portland From Milwaukee:  Gary Trent  1st Round Draft Pick (1996) Milwaukee From Portland:  Shawn Respert Washington From LA Lakers:  2 Second Round Draft Picks (TBD) LA Lakers From Seattle:  1995 2nd Round Pick (#37) Washington From Miami:  Jeff Webster  Ed Stokes Miami From Washington:  Rex Chapman  Terrence Rencher Seattle From Milwaukee:  Eric Snow Milwaukee From Seattle:  Eurelijus Zukauskas  2nd Round Draft Pick (1996),1995 Draft Day Trades,Trades between teams sent and received,LA Clippers,From Denver:  Brent Barry  Rodney Rogers,Denver,From LA Clippers:  Antonio McDyess  Randy Woods,Portland,From Milwaukee:  Gary Trent  1st Round Draft Pick (1996),Milwaukee,From Portland:  Shawn Respert,Washington,From LA Lakers:  2 Second Round Draft Picks (TBD),LA Lakers,From Seattle:  1995 2nd Round Pick (#37),Washington,From Miami:  Jeff Webster  Ed Stokes,Miami,From Washington:  Rex Chapman  Terrence Rencher,Seattle,From Milwaukee:  Eric Snow,Milwaukee,From Seattle:  Eurelijus Zukauskas  2nd Round Draft Pick (1996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
59,1995 Draft Day Trades  Trades between teams sent and received  LA Clippers From Denver:  Brent Barry  Rodney Rogers Denver From LA Clippers:  Antonio McDyess  Randy Woods Portland From Milwaukee:  Gary Trent  1st Round Draft Pick (1996) Milwaukee From Portland:  Shawn Respert Washington From LA Lakers:  2 Second Round Draft Picks (TBD) LA Lakers From Seattle:  1995 2nd Round Pick (#37) Washington From Miami:  Jeff Webster  Ed Stokes Miami From Washington:  Rex Chapman  Terrence Rencher Seattle From Milwaukee:  Eric Snow Milwaukee From Seattle:  Eurelijus Zukauskas  2nd Round Draft Pick (1996),1995 Draft Day Trades,Trades between teams sent and received,LA Clippers,From Denver:  Brent Barry  Rodney Rogers,Denver,From LA Clippers:  Antonio McDyess  Randy Woods,Portland,From Milwaukee:  Gary Trent  1st Round Draft Pick (1996),Milwaukee,From Portland:  Shawn Respert,Washington,From LA Lakers:  2 Second Round Draft Picks (TBD),LA Lakers,From Seattle:  1995 2nd Round Pick (#37),Washington,From Miami:  Jeff Webster  Ed Stokes,Miami,From Washington:  Rex Chapman  Terrence Rencher,Seattle,From Milwaukee:  Eric Snow,Milwaukee,From Seattle:  Eurelijus Zukauskas  2nd Round Draft Pick (1996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
61,1995 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
62,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
63,LA Clippers,From Denver:  Brent Barry  Rodney Rogers,Denver,From LA Clippers:  Antonio McDyess  Randy Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
64,Portland,From Milwaukee:  Gary Trent  1st Round Draft Pick (1996),Milwaukee,From Portland:  Shawn Respert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
65,Washington,From LA Lakers:  2 Second Round Draft Picks (TBD),LA Lakers,From Seattle:  1995 2nd Round Pick (#37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
66,Washington,From Miami:  Jeff Webster  Ed Stokes,Miami,From Washington:  Rex Chapman  Terrence Rencher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
67,Seattle,From Milwaukee:  Eric Snow,Milwaukee,From Seattle:  Eurelijus Zukauskas  2nd Round Draft Pick (1996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
69,received  1996 Draft Day Trades  Trades between teams sent and recieved  Milwaukee From Minnesota:  Ray Allen  Future 1st Round Pick (TBA) Minnesota From Milwaukee:  Stephon Marbury Utah From Miami:  Future 1st Round Draft Pick (TBA) Miami From Utah:  Martin Muursepp,received  1996 Draft Day Trades  Trades between teams sent and recieved  Milwaukee From Minnesota:  Ray Allen  Future 1st Round Pick (TBA) Minnesota From Milwaukee:  Stephon Marbury Utah From Miami:  Future 1st Round Draft Pick (TBA) Miami From Utah:  Martin Muursepp,1996 Draft Day Trades,Trades between teams sent and recieved,Milwaukee,From Minnesota:  Ray Allen  Future 1st Round Pick (TBA),Minnesota,From Milwaukee:  Stephon Marbury,Utah,From Miami:  Future 1st Round Draft Pick (TBA),Miami,From Utah:  Martin Muursepp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
70,received  1996 Draft Day Trades  Trades between teams sent and recieved  Milwaukee From Minnesota:  Ray Allen  Future 1st Round Pick (TBA) Minnesota From Milwaukee:  Stephon Marbury Utah From Miami:  Future 1st Round Draft Pick (TBA) Miami From Utah:  Martin Muursepp,1996 Draft Day Trades,Trades between teams sent and recieved,Milwaukee,From Minnesota:  Ray Allen  Future 1st Round Pick (TBA),Minnesota,From Milwaukee:  Stephon Marbury,Utah,From Miami:  Future 1st Round Draft Pick (TBA),Miami,From Utah:  Martin Muursepp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
72,1996 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
73,Trades between teams sent and recieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
74,Milwaukee,From Minnesota:  Ray Allen  Future 1st Round Pick (TBA),Minnesota,From Milwaukee:  Stephon Marbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
