,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,Draft_Yr
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
218,2007 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
219,Trades between teams sent and recieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
220,Boston,From Seattle:  Ray Allen  Glen Davis,Seattle,From Boston:  Jeff Green  Delonte West  Wally Szczerbiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
221,Charlotte,From Golden State:  Jason Richardson  Jermareo Davidson,Golden State,From Charlotte:  Brandan Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
222,Miami,From Philadelphia:  Daequan Cook Cash Considerations,Philadelphia,From Miami:  Jason Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
223,Phoenix,From Portland:  Cash Considerations,Portland,From Phoenix:  Rudy Fernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
224,Philadelphia,From Portland:  Derrick Byars  Cash Considerations,Portland,From Philadelphia:  Petteri Koponen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
225,Houston,From Seattle:  Carl Landry,Seattle,From Houston:  Future 2nd Round Pick (TBA)  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
226,Philadelphia,From Utah:  Herbert Hill  Future Draft Considerations,Utah,From Philadelphia:  Kyrylo Fesenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
227,Miami,From Indiana:  Future 2nd Round Pick (2009),Indiana,From Miami:  Stanko Barac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
228,Orlando,From Dallas:  Milovan Rakovic  Cash Considerations,Dallas,From Orlando:  Reyshawn Terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
229,New York,From Portland:  Demetris Nichols  Zach Randolph  Fred Jones  Dan Dickau,Portland,From New York:  Steve Francis  Channing Frye  Future 2nd Round Pick (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
230,Orlando,From Houston:  Cash Considerations,Houston,From Orlando:  54th Pick in 2007 NBA Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
231,Toronto,From San Antonio:  Giorgos Printezis,San Antonio,From Toronto:  Future 2nd ound Pick (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
233,2008 Draft Day Trades  Trades between teams sent and received  Minnesota  From Memphis:  Kevin Love  Mike Miller  Jason Collins  Brian Cardinal  Memphis From Minnesota:  O.J. Mayo  Greg Buckner  Marko Jaric  Antoine Walker Portland  From New Orleans:  Darrell Arthur  New Orleans From Portland:  Cash Considerations  Detroit  From Seattle:  Walter Sharpe  Trent Plaisted  Seattle From Detroit:  D.J. White Phoenix  From San Antonio:  Goran Dragic San Antonio  From Phoenix:  Malik Hairston  Future 2nd Round Pick (2009)  Cash Considerations  Miami  From Minnesota:  Mario Chalmers  Minnesota  From Miami:  2 Future 2nd Round Picks (TBA)  Cash Considerations  Boston From Washington:  Bill Walker  Washington  From Boston:  Cash Considerations  Cleveland From Miami:  Darnell Jackson  Miami  From Cleveland:  Future 2nd Round Pick (2009) LA Clippers From Portland:  Mike Taylor  Portland From LA Clippers:  Future 2nd Round Pick (2009) 3-Way Team Trades  Portland From Houston:  Nicolas Batum  Houston  From Memphis:  Donte' Greene  Future 2nd Round Pick (2009) From Portland:  Joey Dorsey Memphis From Portland:  Darrell Arthur  Chicago From Portland:  Omer Asik  Portland  From Denver:  Future 2nd Round Pick (2009) From Chicago:  2 Future 2nd Round Picks (TBA) Denver From Chicago:  Sonny Weems,2008 Draft Day Trades  Trades between teams sent and received  Minnesota  From Memphis:  Kevin Love  Mike Miller  Jason Collins  Brian Cardinal  Memphis From Minnesota:  O.J. Mayo  Greg Buckner  Marko Jaric  Antoine Walker Portland  From New Orleans:  Darrell Arthur  New Orleans From Portland:  Cash Considerations  Detroit  From Seattle:  Walter Sharpe  Trent Plaisted  Seattle From Detroit:  D.J. White Phoenix  From San Antonio:  Goran Dragic San Antonio  From Phoenix:  Malik Hairston  Future 2nd Round Pick (2009)  Cash Considerations  Miami  From Minnesota:  Mario Chalmers  Minnesota  From Miami:  2 Future 2nd Round Picks (TBA)  Cash Considerations  Boston From Washington:  Bill Walker  Washington  From Boston:  Cash Considerations  Cleveland From Miami:  Darnell Jackson  Miami  From Cleveland:  Future 2nd Round Pick (2009) LA Clippers From Portland:  Mike Taylor  Portland From LA Clippers:  Future 2nd Round Pick (2009) 3-Way Team Trades  Portland From Houston:  Nicolas Batum  Houston  From Memphis:  Donte' Greene  Future 2nd Round Pick (2009) From Portland:  Joey Dorsey Memphis From Portland:  Darrell Arthur  Chicago From Portland:  Omer Asik  Portland  From Denver:  Future 2nd Round Pick (2009) From Chicago:  2 Future 2nd Round Picks (TBA) Denver From Chicago:  Sonny Weems,2008 Draft Day Trades,Trades between teams sent and received,Minnesota,From Memphis:  Kevin Love  Mike Miller  Jason Collins  Brian Cardinal,Memphis,From Minnesota:  O.J. Mayo  Greg Buckner  Marko Jaric  Antoine Walker,Portland,From New Orleans:  Darrell Arthur,New Orleans,From Portland:  Cash Considerations,Detroit,From Seattle:  Walter Sharpe  Trent Plaisted,Seattle,From Detroit:  D.J. White,Phoenix,From San Antonio:  Goran Dragic,San Antonio,From Phoenix:  Malik Hairston  Future 2nd Round Pick (2009)  Cash Considerations,Miami,From Minnesota:  Mario Chalmers,Minnesota,From Miami:  2 Future 2nd Round Picks (TBA)  Cash Considerations,Boston,From Washington:  Bill Walker,Washington,From Boston:  Cash Considerations,Cleveland,From Miami:  Darnell Jackson,Miami,From Cleveland:  Future 2nd Round Pick (2009),LA Clippers,From Portland:  Mike Taylor,Portland,From LA Clippers:  Future 2nd Round Pick (2009),3-Way Team Trades,Portland,From Houston:  Nicolas Batum,Houston,From Memphis:  Donte' Greene  Future 2nd Round Pick (2009) From Portland:  Joey Dorsey,Memphis,From Portland:  Darrell Arthur,,,Chicago,From Portland:  Omer Asik,Portland,From Denver:  Future 2nd Round Pick (2009) From Chicago:  2 Future 2nd Round Picks (TBA),Denver,From Chicago:  Sonny Weems,,,,,,,,,,,,,,,,,,2008
234,2008 Draft Day Trades  Trades between teams sent and received  Minnesota  From Memphis:  Kevin Love  Mike Miller  Jason Collins  Brian Cardinal  Memphis From Minnesota:  O.J. Mayo  Greg Buckner  Marko Jaric  Antoine Walker Portland  From New Orleans:  Darrell Arthur  New Orleans From Portland:  Cash Considerations  Detroit  From Seattle:  Walter Sharpe  Trent Plaisted  Seattle From Detroit:  D.J. White Phoenix  From San Antonio:  Goran Dragic San Antonio  From Phoenix:  Malik Hairston  Future 2nd Round Pick (2009)  Cash Considerations  Miami  From Minnesota:  Mario Chalmers  Minnesota  From Miami:  2 Future 2nd Round Picks (TBA)  Cash Considerations  Boston From Washington:  Bill Walker  Washington  From Boston:  Cash Considerations  Cleveland From Miami:  Darnell Jackson  Miami  From Cleveland:  Future 2nd Round Pick (2009) LA Clippers From Portland:  Mike Taylor  Portland From LA Clippers:  Future 2nd Round Pick (2009) 3-Way Team Trades  Portland From Houston:  Nicolas Batum  Houston  From Memphis:  Donte' Greene  Future 2nd Round Pick (2009) From Portland:  Joey Dorsey Memphis From Portland:  Darrell Arthur  Chicago From Portland:  Omer Asik  Portland  From Denver:  Future 2nd Round Pick (2009) From Chicago:  2 Future 2nd Round Picks (TBA) Denver From Chicago:  Sonny Weems,2008 Draft Day Trades,Trades between teams sent and received,Minnesota,From Memphis:  Kevin Love  Mike Miller  Jason Collins  Brian Cardinal,Memphis,From Minnesota:  O.J. Mayo  Greg Buckner  Marko Jaric  Antoine Walker,Portland,From New Orleans:  Darrell Arthur,New Orleans,From Portland:  Cash Considerations,Detroit,From Seattle:  Walter Sharpe  Trent Plaisted,Seattle,From Detroit:  D.J. White,Phoenix,From San Antonio:  Goran Dragic,San Antonio,From Phoenix:  Malik Hairston  Future 2nd Round Pick (2009)  Cash Considerations,Miami,From Minnesota:  Mario Chalmers,Minnesota,From Miami:  2 Future 2nd Round Picks (TBA)  Cash Considerations,Boston,From Washington:  Bill Walker,Washington,From Boston:  Cash Considerations,Cleveland,From Miami:  Darnell Jackson,Miami,From Cleveland:  Future 2nd Round Pick (2009),LA Clippers,From Portland:  Mike Taylor,Portland,From LA Clippers:  Future 2nd Round Pick (2009),3-Way Team Trades,Portland,From Houston:  Nicolas Batum,Houston,From Memphis:  Donte' Greene  Future 2nd Round Pick (2009) From Portland:  Joey Dorsey,Memphis,From Portland:  Darrell Arthur,,,Chicago,From Portland:  Omer Asik,Portland,From Denver:  Future 2nd Round Pick (2009) From Chicago:  2 Future 2nd Round Picks (TBA),Denver,From Chicago:  Sonny Weems,,,,,,,,,,,,,,,,,,,2008
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
236,2008 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
237,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
238,Minnesota,From Memphis:  Kevin Love  Mike Miller  Jason Collins  Brian Cardinal,Memphis,From Minnesota:  O.J. Mayo  Greg Buckner  Marko Jaric  Antoine Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
239,Portland,From New Orleans:  Darrell Arthur,New Orleans,From Portland:  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
240,Detroit,From Seattle:  Walter Sharpe  Trent Plaisted,Seattle,From Detroit:  D.J. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
241,Phoenix,From San Antonio:  Goran Dragic,San Antonio,From Phoenix:  Malik Hairston  Future 2nd Round Pick (2009)  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
242,Miami,From Minnesota:  Mario Chalmers,Minnesota,From Miami:  2 Future 2nd Round Picks (TBA)  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
243,Boston,From Washington:  Bill Walker,Washington,From Boston:  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
244,Cleveland,From Miami:  Darnell Jackson,Miami,From Cleveland:  Future 2nd Round Pick (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
245,LA Clippers,From Portland:  Mike Taylor,Portland,From LA Clippers:  Future 2nd Round Pick (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
246,3-Way Team Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
247,Portland,From Houston:  Nicolas Batum,Houston,From Memphis:  Donte' Greene  Future 2nd Round Pick (2009) From Portland:  Joey Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
248,Memphis,From Portland:  Darrell Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
249,Chicago,From Portland:  Omer Asik,Portland,From Denver:  Future 2nd Round Pick (2009) From Chicago:  2 Future 2nd Round Picks (TBA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
250,Denver,From Chicago:  Sonny Weems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
252,2009 Draft Day Trades  Trades between teams sent and received  Denver From Minnesota:  Ty Lawson  Minnesota From Denver:  Future 1st Round Pick (TBA)  Oklahoma City  From Dallas:  B.J. Mullens  Dallas From Oklahoma City:  Rodrigue Beaubois  Future 2nd Round Pick (TBA)  New York  From LA Lakers:  Future 2nd Round Pick (2011)  Cash Considerations  LA Lakers From New York:  Toney Douglas Sacramento  From Portland:  Sergio Rodriguez  Jon Brockman  Cash Considerations Portland  From Sacramento:  Jeff Pendergraph  Washington  From Houston:  Cash Considerations  Houston  From Washington:  Jermaine Taylor  Houston From Denver:  Sergio Llull  Denver From Houston:  Cash Considerations  LA Lakers From Miami:  Future 2nd Round Pick (2011)  Future Draft Considerations  Miami From LA Lakers:  Patrick Beverley Miami From New Orleans  Future 2nd Round Pick (2010)  Future 2nd Round Pick (2012)  New Orleans  From Miami:  Marcus Thornton  Detroit From Houston:  Future 2nd Round Pick (TBA)  Cash Considerations  Houston  From Detroit:  Chase Budinger  Dallas From Minnesota:  Nick Calathes  Minnesota  From Dallas:  Future 2nd Round Pick (2010)  Cash Considerations Charlotte  From Oklahoma City:  Cash Considerations  Oklahoma City From Charlotte:  Robert Vaden  Cleveland From Phoenix:  Emir Preldzic  Phoenix From Cleveland:  Cash Considerations,2009 Draft Day Trades  Trades between teams sent and received  Denver From Minnesota:  Ty Lawson  Minnesota From Denver:  Future 1st Round Pick (TBA)  Oklahoma City  From Dallas:  B.J. Mullens  Dallas From Oklahoma City:  Rodrigue Beaubois  Future 2nd Round Pick (TBA)  New York  From LA Lakers:  Future 2nd Round Pick (2011)  Cash Considerations  LA Lakers From New York:  Toney Douglas Sacramento  From Portland:  Sergio Rodriguez  Jon Brockman  Cash Considerations Portland  From Sacramento:  Jeff Pendergraph  Washington  From Houston:  Cash Considerations  Houston  From Washington:  Jermaine Taylor  Houston From Denver:  Sergio Llull  Denver From Houston:  Cash Considerations  LA Lakers From Miami:  Future 2nd Round Pick (2011)  Future Draft Considerations  Miami From LA Lakers:  Patrick Beverley Miami From New Orleans  Future 2nd Round Pick (2010)  Future 2nd Round Pick (2012)  New Orleans  From Miami:  Marcus Thornton  Detroit From Houston:  Future 2nd Round Pick (TBA)  Cash Considerations  Houston  From Detroit:  Chase Budinger  Dallas From Minnesota:  Nick Calathes  Minnesota  From Dallas:  Future 2nd Round Pick (2010)  Cash Considerations Charlotte  From Oklahoma City:  Cash Considerations  Oklahoma City From Charlotte:  Robert Vaden  Cleveland From Phoenix:  Emir Preldzic  Phoenix From Cleveland:  Cash Considerations,2009 Draft Day Trades,Trades between teams sent and received,Denver,From Minnesota:  Ty Lawson,Minnesota,From Denver:  Future 1st Round Pick (TBA),Oklahoma City,From Dallas:  B.J. Mullens,Dallas,From Oklahoma City:  Rodrigue Beaubois  Future 2nd Round Pick (TBA),New York,From LA Lakers:  Future 2nd Round Pick (2011)  Cash Considerations,LA Lakers,From New York:  Toney Douglas,Sacramento,From Portland:  Sergio Rodriguez  Jon Brockman  Cash Considerations,Portland,From Sacramento:  Jeff Pendergraph,Washington,From Houston:  Cash Considerations,Houston,From Washington:  Jermaine Taylor,Houston,From Denver:  Sergio Llull,Denver,From Houston:  Cash Considerations,LA Lakers,From Miami:  Future 2nd Round Pick (2011)  Future Draft Considerations,Miami,From LA Lakers:  Patrick Beverley,Miami,From New Orleans  Future 2nd Round Pick (2010)  Future 2nd Round Pick (2012),New Orleans,From Miami:  Marcus Thornton,Detroit,From Houston:  Future 2nd Round Pick (TBA)  Cash Considerations,Houston,From Detroit:  Chase Budinger,Dallas,From Minnesota:  Nick Calathes,Minnesota,From Dallas:  Future 2nd Round Pick (2010)  Cash Considerations,Charlotte,From Oklahoma City:  Cash Considerations,Oklahoma City,From Charlotte:  Robert Vaden,Cleveland,From Phoenix:  Emir Preldzic,Phoenix,From Cleveland:  Cash Considerations,,,,,,,,,,,,,,,,,2009
253,2009 Draft Day Trades  Trades between teams sent and received  Denver From Minnesota:  Ty Lawson  Minnesota From Denver:  Future 1st Round Pick (TBA)  Oklahoma City  From Dallas:  B.J. Mullens  Dallas From Oklahoma City:  Rodrigue Beaubois  Future 2nd Round Pick (TBA)  New York  From LA Lakers:  Future 2nd Round Pick (2011)  Cash Considerations  LA Lakers From New York:  Toney Douglas Sacramento  From Portland:  Sergio Rodriguez  Jon Brockman  Cash Considerations Portland  From Sacramento:  Jeff Pendergraph  Washington  From Houston:  Cash Considerations  Houston  From Washington:  Jermaine Taylor  Houston From Denver:  Sergio Llull  Denver From Houston:  Cash Considerations  LA Lakers From Miami:  Future 2nd Round Pick (2011)  Future Draft Considerations  Miami From LA Lakers:  Patrick Beverley Miami From New Orleans  Future 2nd Round Pick (2010)  Future 2nd Round Pick (2012)  New Orleans  From Miami:  Marcus Thornton  Detroit From Houston:  Future 2nd Round Pick (TBA)  Cash Considerations  Houston  From Detroit:  Chase Budinger  Dallas From Minnesota:  Nick Calathes  Minnesota  From Dallas:  Future 2nd Round Pick (2010)  Cash Considerations Charlotte  From Oklahoma City:  Cash Considerations  Oklahoma City From Charlotte:  Robert Vaden  Cleveland From Phoenix:  Emir Preldzic  Phoenix From Cleveland:  Cash Considerations,2009 Draft Day Trades,Trades between teams sent and received,Denver,From Minnesota:  Ty Lawson,Minnesota,From Denver:  Future 1st Round Pick (TBA),Oklahoma City,From Dallas:  B.J. Mullens,Dallas,From Oklahoma City:  Rodrigue Beaubois  Future 2nd Round Pick (TBA),New York,From LA Lakers:  Future 2nd Round Pick (2011)  Cash Considerations,LA Lakers,From New York:  Toney Douglas,Sacramento,From Portland:  Sergio Rodriguez  Jon Brockman  Cash Considerations,Portland,From Sacramento:  Jeff Pendergraph,Washington,From Houston:  Cash Considerations,Houston,From Washington:  Jermaine Taylor,Houston,From Denver:  Sergio Llull,Denver,From Houston:  Cash Considerations,LA Lakers,From Miami:  Future 2nd Round Pick (2011)  Future Draft Considerations,Miami,From LA Lakers:  Patrick Beverley,Miami,From New Orleans  Future 2nd Round Pick (2010)  Future 2nd Round Pick (2012),New Orleans,From Miami:  Marcus Thornton,Detroit,From Houston:  Future 2nd Round Pick (TBA)  Cash Considerations,Houston,From Detroit:  Chase Budinger,Dallas,From Minnesota:  Nick Calathes,Minnesota,From Dallas:  Future 2nd Round Pick (2010)  Cash Considerations,Charlotte,From Oklahoma City:  Cash Considerations,Oklahoma City,From Charlotte:  Robert Vaden,Cleveland,From Phoenix:  Emir Preldzic,Phoenix,From Cleveland:  Cash Considerations,,,,,,,,,,,,,,,,,,2009
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
255,2009 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
256,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
257,Denver,From Minnesota:  Ty Lawson,Minnesota,From Denver:  Future 1st Round Pick (TBA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
258,Oklahoma City,From Dallas:  B.J. Mullens,Dallas,From Oklahoma City:  Rodrigue Beaubois  Future 2nd Round Pick (TBA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
259,New York,From LA Lakers:  Future 2nd Round Pick (2011)  Cash Considerations,LA Lakers,From New York:  Toney Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
260,Sacramento,From Portland:  Sergio Rodriguez  Jon Brockman  Cash Considerations,Portland,From Sacramento:  Jeff Pendergraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
261,Washington,From Houston:  Cash Considerations,Houston,From Washington:  Jermaine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
262,Houston,From Denver:  Sergio Llull,Denver,From Houston:  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
263,LA Lakers,From Miami:  Future 2nd Round Pick (2011)  Future Draft Considerations,Miami,From LA Lakers:  Patrick Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
264,Miami,From New Orleans  Future 2nd Round Pick (2010)  Future 2nd Round Pick (2012),New Orleans,From Miami:  Marcus Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
265,Detroit,From Houston:  Future 2nd Round Pick (TBA)  Cash Considerations,Houston,From Detroit:  Chase Budinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
266,Dallas,From Minnesota:  Nick Calathes,Minnesota,From Dallas:  Future 2nd Round Pick (2010)  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
267,Charlotte,From Oklahoma City:  Cash Considerations,Oklahoma City,From Charlotte:  Robert Vaden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
268,Cleveland,From Phoenix:  Emir Preldzic,Phoenix,From Cleveland:  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
270,2010 Draft Day Trades  Trades between teams sent and received  Oklahoma City From New Orleans:  Cole Aldrich  Morris Peterson    New Orleans From Oklahoma City:  Craig Brackins  Quincy Pondexter  Portland  From Minnesota:  Ryan Gomes  Luke Babbitt  Minnesota From Portland:  Martell Webster  Washington  From Chicago:  Kirk Hinrich  Kevin Seraphin  Chicago From Washington:  Future 2nd Round Pick (TBA)  LA Clippers  From Oklahoma Ctiy:  Eric Bledsoe  Oklahoma City  From LA Clippers:  Future 1st Round Pick (TBA)  Washington  From Minnesota:  Trevor Booker  Hamady N'Diaye  Minnesota  From Washington:  Lazar Hayward  Nemanja Bjelica  New Jersey  From Atlanta:  Damion James  Atlanta  From New Jersey:  Jordan Crawford  Tibor Pleiss  Dallas From Memphis:  Dominique Jones  Memphis  From Dallas:  Cash Considerations Oklahoma City  From Atlanta:  Tibor Pleiss  Atlanta  From Oklahoma City:  Cash Considerations  Oklahoma City From Miami:  Latavious Williams  Miami  From Oklahoma City:  Future 2nd Round Pick (TBA)  Toronto From Miami:  Solomon Alabi  Miami  From Toronto:  Future 2nd Round Pick (TBA)  Cash Considerations Indiana  From Oklahoma City:  Magnum Rolle  Oklahoma City From Indiana:  Ryan Reid,2010 Draft Day Trades  Trades between teams sent and received  Oklahoma City From New Orleans:  Cole Aldrich  Morris Peterson    New Orleans From Oklahoma City:  Craig Brackins  Quincy Pondexter  Portland  From Minnesota:  Ryan Gomes  Luke Babbitt  Minnesota From Portland:  Martell Webster  Washington  From Chicago:  Kirk Hinrich  Kevin Seraphin  Chicago From Washington:  Future 2nd Round Pick (TBA)  LA Clippers  From Oklahoma Ctiy:  Eric Bledsoe  Oklahoma City  From LA Clippers:  Future 1st Round Pick (TBA)  Washington  From Minnesota:  Trevor Booker  Hamady N'Diaye  Minnesota  From Washington:  Lazar Hayward  Nemanja Bjelica  New Jersey  From Atlanta:  Damion James  Atlanta  From New Jersey:  Jordan Crawford  Tibor Pleiss  Dallas From Memphis:  Dominique Jones  Memphis  From Dallas:  Cash Considerations Oklahoma City  From Atlanta:  Tibor Pleiss  Atlanta  From Oklahoma City:  Cash Considerations  Oklahoma City From Miami:  Latavious Williams  Miami  From Oklahoma City:  Future 2nd Round Pick (TBA)  Toronto From Miami:  Solomon Alabi  Miami  From Toronto:  Future 2nd Round Pick (TBA)  Cash Considerations Indiana  From Oklahoma City:  Magnum Rolle  Oklahoma City From Indiana:  Ryan Reid,2010 Draft Day Trades,Trades between teams sent and received,Oklahoma City,From New Orleans:  Cole Aldrich  Morris Peterson,New Orleans,From Oklahoma City:  Craig Brackins  Quincy Pondexter,Portland,From Minnesota:  Ryan Gomes  Luke Babbitt,Minnesota,From Portland:  Martell Webster,Washington,From Chicago:  Kirk Hinrich  Kevin Seraphin,Chicago,From Washington:  Future 2nd Round Pick (TBA),LA Clippers,From Oklahoma Ctiy:  Eric Bledsoe,Oklahoma City,From LA Clippers:  Future 1st Round Pick (TBA),Washington,From Minnesota:  Trevor Booker  Hamady N'Diaye,Minnesota,From Washington:  Lazar Hayward  Nemanja Bjelica,New Jersey,From Atlanta:  Damion James,Atlanta,From New Jersey:  Jordan Crawford  Tibor Pleiss,Dallas,From Memphis:  Dominique Jones,Memphis,From Dallas:  Cash Considerations,Oklahoma City,From Atlanta:  Tibor Pleiss,Atlanta,From Oklahoma City:  Cash Considerations,Oklahoma City,From Miami:  Latavious Williams,Miami,From Oklahoma City:  Future 2nd Round Pick (TBA),Toronto,From Miami:  Solomon Alabi,Miami,From Toronto:  Future 2nd Round Pick (TBA)  Cash Considerations,Indiana,From Oklahoma City:  Magnum Rolle,Oklahoma City,From Indiana:  Ryan Reid,,,,,,,,,,,,,,,,,,,,,2010
